UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797202917280228103602202521PU2500012984;05407007972029;280228;36022025;PU2500012984
010540700797202917280228103602202521PU2500012986;05407007972029;280228;36022025;PU2500012986
010540700797202917280228103602202521PU2500012988;05407007972029;280228;36022025;PU2500012988
010540700797202917280228103602202521PU2500012990;05407007972029;280228;36022025;PU2500012990
010540700797202917280228103602202521PU2500012992;05407007972029;280228;36022025;PU2500012992
010540700797202917280228103602202521PU2500012994;05407007972029;280228;36022025;PU2500012994
010540700797202917280228103602202521PU2500012996;05407007972029;280228;36022025;PU2500012996
010540700797202917280228103602202521PU2500012998;05407007972029;280228;36022025;PU2500012998
010540700797202917280228103602202521PU2500013000;05407007972029;280228;36022025;PU2500013000
010540700797202917280228103602202521PU2500013002;05407007972029;280228;36022025;PU2500013002
010540700797202917280228103602202521PU2500013004;05407007972029;280228;36022025;PU2500013004
010540700797202917280228103602202521PU2500013006;05407007972029;280228;36022025;PU2500013006
010540700797202917280228103602202521PU2500013008;05407007972029;280228;36022025;PU2500013008
010540700797202917280228103602202521PU2500013010;05407007972029;280228;36022025;PU2500013010
010540700797202917280228103602202521PU2500013012;05407007972029;280228;36022025;PU2500013012
010540700797202917280228103602202521PU2500013014;05407007972029;280228;36022025;PU2500013014
010540700797202917280228103602202521PU2500013016;05407007972029;280228;36022025;PU2500013016
010540700797202917280228103602202521PU2500013018;05407007972029;280228;36022025;PU2500013018
010540700797202917280228103602202521PU2500013020;05407007972029;280228;36022025;PU2500013020
010540700797202917280228103602202521PU2500013022;05407007972029;280228;36022025;PU2500013022
010540700797202917280228103602202521PU2500013024;05407007972029;280228;36022025;PU2500013024
010540700797202917280228103602202521PU2500013026;05407007972029;280228;36022025;PU2500013026
010540700797202917280228103602202521PU2500013028;05407007972029;280228;36022025;PU2500013028
010540700797202917280228103602202521PU2500013030;05407007972029;280228;36022025;PU2500013030
010540700797202917280228103602202521PU2500013032;05407007972029;280228;36022025;PU2500013032
010540700797202917280228103602202521PU2500013034;05407007972029;280228;36022025;PU2500013034
010540700797202917280228103602202521PU2500013036;05407007972029;280228;36022025;PU2500013036
010540700797202917280228103602202521PU2500013038;05407007972029;280228;36022025;PU2500013038
010540700797202917280228103602202521PU2500013040;05407007972029;280228;36022025;PU2500013040
010540700797202917280228103602202521PU2500013042;05407007972029;280228;36022025;PU2500013042
010540700797202917280228103602202521PU2500013044;05407007972029;280228;36022025;PU2500013044
010540700797202917280228103602202521PU2500013046;05407007972029;280228;36022025;PU2500013046
010540700797202917280228103602202521PU2500013048;05407007972029;280228;36022025;PU2500013048
010540700797202917280228103602202521PU2500013050;05407007972029;280228;36022025;PU2500013050
010540700797202917280228103602202521PU2500013052;05407007972029;280228;36022025;PU2500013052
010540700797202917280228103602202521PU2500013054;05407007972029;280228;36022025;PU2500013054
010540700797202917280228103602202521PU2500013056;05407007972029;280228;36022025;PU2500013056
010540700797202917280228103602202521PU2500013058;05407007972029;280228;36022025;PU2500013058
010540700797202917280228103602202521PU2500013060;05407007972029;280228;36022025;PU2500013060
010540700797202917280228103602202521PU2500013062;05407007972029;280228;36022025;PU2500013062
010540700797202917280228103602202521PU2500013064;05407007972029;280228;36022025;PU2500013064
010540700797202917280228103602202521PU2500013066;05407007972029;280228;36022025;PU2500013066
010540700797202917280228103602202521PU2500013068;05407007972029;280228;36022025;PU2500013068
010540700797202917280228103602202521PU2500013070;05407007972029;280228;36022025;PU2500013070
010540700797202917280228103602202521PU2500013072;05407007972029;280228;36022025;PU2500013072
010540700797202917280228103602202521PU2500013074;05407007972029;280228;36022025;PU2500013074
010540700797202917280228103602202521PU2500013076;05407007972029;280228;36022025;PU2500013076
010540700797202917280228103602202521PU2500013078;05407007972029;280228;36022025;PU2500013078
010540700797202917280228103602202521PU2500013080;05407007972029;280228;36022025;PU2500013080
010540700797202917280228103602202521PU2500013082;05407007972029;280228;36022025;PU2500013082
010540700797202917280228103602202521PU2500013084;05407007972029;280228;36022025;PU2500013084
010540700797202917280228103602202521PU2500013086;05407007972029;280228;36022025;PU2500013086
010540700797202917280228103602202521PU2500013088;05407007972029;280228;36022025;PU2500013088
010540700797202917280228103602202521PU2500013090;05407007972029;280228;36022025;PU2500013090
010540700797202917280228103602202521PU2500013092;05407007972029;280228;36022025;PU2500013092
010540700797202917280228103602202521PU2500013094;05407007972029;280228;36022025;PU2500013094
010540700797202917280228103602202521PU2500013096;05407007972029;280228;36022025;PU2500013096
010540700797202917280228103602202521PU2500013098;05407007972029;280228;36022025;PU2500013098
010540700797202917280228103602202521PU2500013100;05407007972029;280228;36022025;PU2500013100
010540700797202917280228103602202521PU2500013102;05407007972029;280228;36022025;PU2500013102
010540700797202917280228103602202521PU2500013104;05407007972029;280228;36022025;PU2500013104
010540700797202917280228103602202521PU2500013106;05407007972029;280228;36022025;PU2500013106
010540700797202917280228103602202521PU2500013108;05407007972029;280228;36022025;PU2500013108
010540700797202917280228103602202521PU2500013110;05407007972029;280228;36022025;PU2500013110
010540700797202917280228103602202521PU2500013112;05407007972029;280228;36022025;PU2500013112
010540700797202917280228103602202521PU2500013114;05407007972029;280228;36022025;PU2500013114
010540700797202917280228103602202521PU2500013116;05407007972029;280228;36022025;PU2500013116
010540700797202917280228103602202521PU2500013118;05407007972029;280228;36022025;PU2500013118
010540700797202917280228103602202521PU2500013120;05407007972029;280228;36022025;PU2500013120
010540700797202917280228103602202521PU2500013122;05407007972029;280228;36022025;PU2500013122
010540700797202917280228103602202521PU2500013124;05407007972029;280228;36022025;PU2500013124
010540700797202917280228103602202521PU2500013126;05407007972029;280228;36022025;PU2500013126
010540700797202917280228103602202521PU2500013128;05407007972029;280228;36022025;PU2500013128
010540700797202917280228103602202521PU2500013130;05407007972029;280228;36022025;PU2500013130
010540700797202917280228103602202521PU2500013132;05407007972029;280228;36022025;PU2500013132
010540700797202917280228103602202521PU2500013134;05407007972029;280228;36022025;PU2500013134
010540700797202917280228103602202521PU2500013136;05407007972029;280228;36022025;PU2500013136
010540700797202917280228103602202521PU2500013138;05407007972029;280228;36022025;PU2500013138
010540700797202917280228103602202521PU2500013140;05407007972029;280228;36022025;PU2500013140
010540700797202917280228103602202521PU2500013142;05407007972029;280228;36022025;PU2500013142
010540700797202917280228103602202521PU2500013144;05407007972029;280228;36022025;PU2500013144
010540700797202917280228103602202521PU2500013146;05407007972029;280228;36022025;PU2500013146
010540700797202917280228103602202521PU2500013148;05407007972029;280228;36022025;PU2500013148
010540700797202917280228103602202521PU2500013150;05407007972029;280228;36022025;PU2500013150
010540700797202917280228103602202521PU2500013152;05407007972029;280228;36022025;PU2500013152
010540700797202917280228103602202521PU2500013154;05407007972029;280228;36022025;PU2500013154
010540700797202917280228103602202521PU2500013156;05407007972029;280228;36022025;PU2500013156
010540700797202917280228103602202521PU2500013158;05407007972029;280228;36022025;PU2500013158
010540700797202917280228103602202521PU2500013160;05407007972029;280228;36022025;PU2500013160
010540700797202917280228103602202521PU2500013162;05407007972029;280228;36022025;PU2500013162
010540700797202917280228103602202521PU2500013164;05407007972029;280228;36022025;PU2500013164
010540700797202917280228103602202521PU2500013166;05407007972029;280228;36022025;PU2500013166
010540700797202917280228103602202521PU2500013168;05407007972029;280228;36022025;PU2500013168
010540700797202917280228103602202521PU2500013170;05407007972029;280228;36022025;PU2500013170
010540700797202917280228103602202521PU2500013172;05407007972029;280228;36022025;PU2500013172
010540700797202917280228103602202521PU2500013174;05407007972029;280228;36022025;PU2500013174
010540700797202917280228103602202521PU2500013176;05407007972029;280228;36022025;PU2500013176
010540700797202917280228103602202521PU2500013178;05407007972029;280228;36022025;PU2500013178
010540700797202917280228103602202521PU2500013180;05407007972029;280228;36022025;PU2500013180
010540700797202917280228103602202521PU2500013182;05407007972029;280228;36022025;PU2500013182
010540700797202917280228103602202521PU2500013184;05407007972029;280228;36022025;PU2500013184
010540700797202917280228103602202521PU2500013186;05407007972029;280228;36022025;PU2500013186
