UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300228103250058721UR2500209691;05407007972081;300228;32500587;UR2500209691
010540700797208117300228103250058721UR2500209695;05407007972081;300228;32500587;UR2500209695
010540700797208117300228103250058721UR2500209697;05407007972081;300228;32500587;UR2500209697
010540700797208117300228103250058721UR2500209699;05407007972081;300228;32500587;UR2500209699
010540700797208117300228103250058721UR2500209701;05407007972081;300228;32500587;UR2500209701
010540700797208117300228103250058721UR2500209703;05407007972081;300228;32500587;UR2500209703
010540700797208117300228103250058721UR2500209705;05407007972081;300228;32500587;UR2500209705
010540700797208117300228103250058721UR2500209707;05407007972081;300228;32500587;UR2500209707
010540700797208117300228103250058721UR2500209709;05407007972081;300228;32500587;UR2500209709
010540700797208117300228103250058721UR2500209711;05407007972081;300228;32500587;UR2500209711
010540700797208117300228103250058721UR2500209713;05407007972081;300228;32500587;UR2500209713
010540700797208117300228103250058721UR2500209715;05407007972081;300228;32500587;UR2500209715
010540700797208117300228103250058721UR2500209717;05407007972081;300228;32500587;UR2500209717
010540700797208117300228103250058721UR2500209719;05407007972081;300228;32500587;UR2500209719
010540700797208117300228103250058721UR2500209721;05407007972081;300228;32500587;UR2500209721
010540700797208117300228103250058721UR2500209723;05407007972081;300228;32500587;UR2500209723
010540700797208117300228103250058721UR2500209725;05407007972081;300228;32500587;UR2500209725
010540700797208117300228103250058721UR2500209727;05407007972081;300228;32500587;UR2500209727
010540700797208117300228103250058721UR2500209729;05407007972081;300228;32500587;UR2500209729
010540700797208117300228103250058721UR2500209731;05407007972081;300228;32500587;UR2500209731
010540700797208117300228103250058721UR2500209733;05407007972081;300228;32500587;UR2500209733
010540700797208117300228103250058721UR2500209735;05407007972081;300228;32500587;UR2500209735
010540700797208117300228103250058721UR2500209737;05407007972081;300228;32500587;UR2500209737
010540700797208117300228103250058721UR2500209739;05407007972081;300228;32500587;UR2500209739
010540700797208117300228103250058721UR2500209741;05407007972081;300228;32500587;UR2500209741
010540700797208117300228103250058721UR2500209743;05407007972081;300228;32500587;UR2500209743
