UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797213517280531103230327521FA2500089971;05407007972135;280531;32303275;FA2500089971
010540700797213517280531103230327521FA2500089973;05407007972135;280531;32303275;FA2500089973
010540700797213517280531103230327521FA2500089975;05407007972135;280531;32303275;FA2500089975
010540700797213517280531103230327521FA2500089977;05407007972135;280531;32303275;FA2500089977
010540700797213517280531103230327521FA2500089979;05407007972135;280531;32303275;FA2500089979
010540700797213517280531103230327521FA2500089981;05407007972135;280531;32303275;FA2500089981
010540700797213517280531103230327521FA2500089983;05407007972135;280531;32303275;FA2500089983
010540700797213517280531103230327521FA2500089985;05407007972135;280531;32303275;FA2500089985
010540700797213517280531103230327521FA2500089987;05407007972135;280531;32303275;FA2500089987
010540700797213517280531103230327521FA2500089989;05407007972135;280531;32303275;FA2500089989
010540700797213517280531103230327521FA2500089991;05407007972135;280531;32303275;FA2500089991
010540700797213517280531103230327521FA2500089993;05407007972135;280531;32303275;FA2500089993
010540700797213517280531103230327521FA2500089995;05407007972135;280531;32303275;FA2500089995
010540700797213517280531103230327521FA2500089997;05407007972135;280531;32303275;FA2500089997
010540700797213517280531103230327521FA2500089999;05407007972135;280531;32303275;FA2500089999
010540700797213517280531103230327521FA2500090001;05407007972135;280531;32303275;FA2500090001
010540700797213517280531103230327521FA2500090003;05407007972135;280531;32303275;FA2500090003
010540700797213517280531103230327521FA2500090005;05407007972135;280531;32303275;FA2500090005
010540700797213517280531103230327521FA2500090007;05407007972135;280531;32303275;FA2500090007
010540700797213517280531103230327521FA2500090009;05407007972135;280531;32303275;FA2500090009
010540700797213517280531103230327521FA2500090011;05407007972135;280531;32303275;FA2500090011
010540700797213517280531103230327521FA2500090013;05407007972135;280531;32303275;FA2500090013
010540700797213517280531103230327521FA2500090015;05407007972135;280531;32303275;FA2500090015
010540700797213517280531103230327521FA2500090017;05407007972135;280531;32303275;FA2500090017
010540700797213517280531103230327521FA2500090019;05407007972135;280531;32303275;FA2500090019
010540700797213517280531103230327521FA2500090021;05407007972135;280531;32303275;FA2500090021
010540700797213517280531103230327521FA2500090023;05407007972135;280531;32303275;FA2500090023
010540700797213517280531103230327521FA2500090025;05407007972135;280531;32303275;FA2500090025
010540700797213517280531103230327521FA2500090027;05407007972135;280531;32303275;FA2500090027
010540700797213517280531103230327521FA2500090029;05407007972135;280531;32303275;FA2500090029
010540700797213517280531103230327521FA2500090031;05407007972135;280531;32303275;FA2500090031
010540700797213517280531103230327521FA2500090033;05407007972135;280531;32303275;FA2500090033
010540700797213517280531103230327521FA2500090035;05407007972135;280531;32303275;FA2500090035
010540700797213517280531103230327521FA2500090037;05407007972135;280531;32303275;FA2500090037
010540700797213517280531103230327521FA2500090039;05407007972135;280531;32303275;FA2500090039
010540700797213517280531103230327521FA2500090041;05407007972135;280531;32303275;FA2500090041
010540700797213517280531103230327521FA2500090043;05407007972135;280531;32303275;FA2500090043
010540700797213517280531103230327521FA2500090045;05407007972135;280531;32303275;FA2500090045
010540700797213517280531103230327521FA2500090047;05407007972135;280531;32303275;FA2500090047
010540700797213517280531103230327521FA2500090049;05407007972135;280531;32303275;FA2500090049
010540700797213517280531103230327521FA2500090051;05407007972135;280531;32303275;FA2500090051
010540700797213517280531103230327521FA2500090053;05407007972135;280531;32303275;FA2500090053
010540700797213517280531103230327521FA2500090055;05407007972135;280531;32303275;FA2500090055
010540700797213517280531103230327521FA2500090057;05407007972135;280531;32303275;FA2500090057
010540700797213517280531103230327521FA2500090059;05407007972135;280531;32303275;FA2500090059
010540700797213517280531103230327521FA2500090061;05407007972135;280531;32303275;FA2500090061
010540700797213517280531103230327521FA2500090063;05407007972135;280531;32303275;FA2500090063
010540700797213517280531103230327521FA2500090065;05407007972135;280531;32303275;FA2500090065
010540700797213517280531103230327521FA2500090067;05407007972135;280531;32303275;FA2500090067
