UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797232617261130106711202321SP2500000410;5407007972326;261130;67112023;SP2500000410
010540700797232617261130106711202321SP2500000414;5407007972326;261130;67112023;SP2500000414
010540700797232617261130106711202321SP2500000416;5407007972326;261130;67112023;SP2500000416
010540700797232617261130106711202321SP2500000418;5407007972326;261130;67112023;SP2500000418
010540700797232617261130106711202321SP2500000420;5407007972326;261130;67112023;SP2500000420
010540700797232617261130106711202321SP2500000422;5407007972326;261130;67112023;SP2500000422
010540700797232617261130106711202321SP2500000424;5407007972326;261130;67112023;SP2500000424
010540700797232617261130106711202321SP2500000426;5407007972326;261130;67112023;SP2500000426
010540700797232617261130106711202321SP2500000428;5407007972326;261130;67112023;SP2500000428
010540700797232617261130106711202321SP2500000430;5407007972326;261130;67112023;SP2500000430
010540700797232617261130106711202321SP2500000431;5407007972326;261130;67112023;SP2500000431
010540700797232617261130106711202321SP2500000432;5407007972326;261130;67112023;SP2500000432
010540700797232617261130106711202321SP2500000433;5407007972326;261130;67112023;SP2500000433
010540700797232617261130106711202321SP2500000434;5407007972326;261130;67112023;SP2500000434
010540700797232617261130106711202321SP2500000435;5407007972326;261130;67112023;SP2500000435
010540700797232617261130106711202321SP2500000436;5407007972326;261130;67112023;SP2500000436
010540700797232617261130106711202321SP2500000437;5407007972326;261130;67112023;SP2500000437
010540700797232617261130106711202321SP2500000438;5407007972326;261130;67112023;SP2500000438
010540700797232617261130106711202321SP2500000439;5407007972326;261130;67112023;SP2500000439
010540700797232617261130106711202321SP2500000440;5407007972326;261130;67112023;SP2500000440
010540700797232617261130106711202321SP2500000441;5407007972326;261130;67112023;SP2500000441
010540700797232617261130106711202321SP2500000442;5407007972326;261130;67112023;SP2500000442
010540700797232617261130106711202321SP2500000443;5407007972326;261130;67112023;SP2500000443
010540700797232617261130106711202321SP2500000444;5407007972326;261130;67112023;SP2500000444
010540700797232617261130106711202321SP2500000445;5407007972326;261130;67112023;SP2500000445
010540700797232617261130106711202321SP2500000446;5407007972326;261130;67112023;SP2500000446
010540700797232617261130106711202321SP2500000447;5407007972326;261130;67112023;SP2500000447
