UDI,UDI-DI,EXPIRY DATE,LOT,UNIQUE NR
01054070079720981729073110141251421UR2500164086,05407007972098,290731,1412514,UR2500164086
01054070079720981729073110141251421UR2500164088,05407007972098,290731,1412514,UR2500164088
01054070079720981729073110141251421UR2500164090,05407007972098,290731,1412514,UR2500164090
01054070079720981729073110141251421UR2500164092,05407007972098,290731,1412514,UR2500164092
01054070079720981729073110141251421UR2500164094,05407007972098,290731,1412514,UR2500164094
01054070079720981729073110141251421UR2500164096,05407007972098,290731,1412514,UR2500164096
01054070079720981729073110141251421UR2500164098,05407007972098,290731,1412514,UR2500164098
01054070079720981729073110141251421UR2500164102,05407007972098,290731,1412514,UR2500164102
01054070079720981729073110141251421UR2500164104,05407007972098,290731,1412514,UR2500164104
01054070079720981729073110141251421UR2500164106,05407007972098,290731,1412514,UR2500164106
